n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
3473408,90117,76414976,2708263,0.004652725666666667,6.001050000000005e-05,1.1221426866666668e-05,1.273741304727868e-10
3489792,90154,76775424,2721051,0.004524702666666666,2.2010499999999995e-05,9.734212233333333e-06,8.839325296995387e-11
3506176,90175,77135872,2733843,0.004528003333333333,1.5097933333333303e-05,9.589916066666667e-06,8.564203166534326e-11
3522560,90178,77496320,2746691,0.004559189,6.0168933333333346e-05,9.2091355e-06,8.155132530221434e-11
3538944,90195,77856768,2759518,0.004572609,0.00011613726666666671,9.2363602e-06,8.396702339456593e-11
3555328,90198,78217216,2772310,0.004621729666666667,0.00010893046333333336,9.178632513333333e-06,8.470222355052919e-11
3571712,90202,78577664,2785052,0.004605514000000001,0.00012131093666666662,9.02177393e-06,8.276950306298597e-11
3588096,90203,78938112,2797879,0.004617640666666666,0.00010731803666666672,8.946284706666666e-06,8.186886103292063e-11
3604480,90293,79298560,2810580,0.004580138333333333,0.00013171087000000002,8.535216213333335e-06,7.297369079997536e-11
3620864,90296,79659008,2823336,0.00457021,0.00012944386666666663,8.435177346666667e-06,7.047748586568172e-11
3637248,90301,80019456,2836116,0.004577260666666667,0.00012947531333333334,8.342389416666665e-06,7.021305272594641e-11
3653632,90304,80379904,2848888,0.00455826,0.0001302579866666667,8.129969973333334e-06,6.429698864766535e-11
3670016,90304,80740352,2861623,0.004316682,0.00016355308999999998,5.9132275600000004e-06,2.5510591764322243e-11
3686400,90305,81100800,2874425,0.004316836333333333,0.00015707269000000005,5.8851640666666665e-06,2.5174655687282807e-11
3702784,90314,81461248,2887147,0.004291395666666666,0.00016641437666666664,5.849540959999999e-06,2.3775272994681254e-11
3719168,90331,81821696,2899969,0.004282892666666666,0.0001778826933333334,5.774251216666667e-06,2.277549805231766e-11
3735552,90345,82182144,2912758,0.004311022,0.00019002652,5.64477359e-06,2.4859121710380314e-11
3751936,90359,82542592,2925591,0.004322905333333333,0.0001963156966666667,5.49517472e-06,2.3569084249318257e-11
3768320,90367,82903040,2938383,0.004323959666666668,0.0001904318,5.506941363333334e-06,2.374787296488059e-11
3784704,90386,83263488,2951166,0.004244510999999999,0.00023614296666666667,5.12657152e-06,1.7739379729056938e-11
3801088,90394,83623936,2963968,0.004255113666666667,0.00023733663333333328,5.02659463e-06,1.7969993063792614e-11
3817472,90405,83984384,2976618,0.004250184,0.00023445833333333334,4.9823112566666665e-06,1.737063723788005e-11
3833856,90432,84344832,2989365,0.004254046,0.00023226369999999996,4.93105686e-06,1.6994873167752722e-11
3850240,90435,84705280,3002095,0.004257601666666666,0.00022253879999999996,4.903850713333333e-06,1.706075656851497e-11
3866624,90441,85065728,3014882,0.0042417976666666675,0.00023030846666666669,4.94900959e-06,1.6885775500803086e-11
3883008,90483,85426176,3027620,0.004214975333333333,0.00025537853333333334,4.798620849999999e-06,1.4841668784884778e-11
3899392,90486,85786624,3040458,0.004179714,0.0002881525666666666,4.743910030000001e-06,1.4154964066896536e-11
3915776,90497,86147072,3053316,0.0041548999999999996,0.00032290623333333337,4.683293813333333e-06,1.2777533398500875e-11
3932160,90511,86507520,3066076,0.004173773666666667,0.0003057758,4.799531633333334e-06,1.3922861764815666e-11
3948544,90517,86867968,3078883,0.004159241333333333,0.00031637390000000004,4.81815408e-06,1.3402120681997377e-11
3964928,90524,87228416,3091604,0.0041545386666666665,0.0003163552,4.8204008e-06,1.373684642317701e-11
3981312,90532,87588864,3104410,0.0041756626666666664,0.0003015617666666666,4.8093856433333335e-06,1.4380389216816851e-11
3997696,90578,87949312,3117187,0.004163351666666666,0.00032554473333333333,4.611010059999999e-06,1.3975673551932738e-11
4014080,90606,88309760,3129928,0.00418094,0.0003376880999999999,4.517386043333333e-06,1.3697836645557208e-11
